PlotCode,cwd,year,new_visit_code,mean,sd,cwd_z
P2-3-C-04,113.4,2023,P2-3-C-04.post10-11,185.32000000000002,76.08042205909254,-0.9453154708334678
P2-3-C-05,220.8,2011,P2-3-C-05.01_Pre,185.32000000000002,76.08042205909254,0.4663486221519942
P2-3-C-05,377.1,2012,P2-3-C-05.post0-1,185.32000000000002,76.08042205909254,2.520753628982792
P2-3-C-05,195.4,2017,P2-3-C-05.post04-5,185.32000000000002,76.08042205909254,0.13249137855952917
P2-3-C-05,113.4,2023,P2-3-C-05.post10-11,185.32000000000002,76.08042205909254,-0.9453154708334678
P2-3-C-06,220.8,2011,P2-3-C-06.01_Pre,185.32000000000002,76.08042205909254,0.4663486221519942
P2-3-C-06,377.1,2012,P2-3-C-06.post0-1,185.32000000000002,76.08042205909254,2.520753628982792
P2-3-C-06,195.4,2017,P2-3-C-06.post04-5,185.32000000000002,76.08042205909254,0.13249137855952917
P2-3-C-06,113.4,2023,P2-3-C-06.post10-11,185.32000000000002,76.08042205909254,-0.9453154708334678
P2-3-C-07,220.8,2011,P2-3-C-07.01_Pre,185.32000000000002,76.08042205909254,0.4663486221519942
P2-3-C-07,377.1,2012,P2-3-C-07.post0-1,185.32000000000002,76.08042205909254,2.520753628982792
P2-3-C-07,195.4,2017,P2-3-C-07.post04-5,185.32000000000002,76.08042205909254,0.13249137855952917
P2-3-C-07,113.4,2023,P2-3-C-07.post10-11,185.32000000000002,76.08042205909254,-0.9453154708334678
P2-3-C-08,220.9,2011,P2-3-C-08.01_Pre,184.12,76.86194251316157,0.47852030273242085
P2-3-C-08,378.80000000000007,2012,P2-3-C-08.post0-1,184.12,76.86194251316157,2.5328529781388722
P2-3-C-08,193,2017,P2-3-C-08.post04-5,184.12,76.86194251316157,0.11553181860423858
P2-3-C-08,110,2023,P2-3-C-08.post10-11,184.12,76.86194251316157,-0.9643263958272712
P2-3-T-589-02,220.8,2011,P2-3-T-589-02.01_Pre,185.32000000000002,76.08042205909254,0.4663486221519942
P2-3-T-589-02,377.1,2012,P2-3-T-589-02.post0-1,185.32000000000002,76.08042205909254,2.520753628982792
P2-3-T-589-02,195.4,2017,P2-3-T-589-02.post04-5,185.32000000000002,76.08042205909254,0.13249137855952917
P2-3-T-589-02,113.4,2023,P2-3-T-589-02.post10-11,185.32000000000002,76.08042205909254,-0.9453154708334678
P2-3-T-589-04,220.8,2011,P2-3-T-589-04.01_Pre,185.32000000000002,76.08042205909254,0.4663486221519942
P2-3-T-589-04,377.1,2012,P2-3-T-589-04.post0-1,185.32000000000002,76.08042205909254,2.520753628982792
P2-3-T-589-04,195.4,2017,P2-3-T-589-04.post04-5,185.32000000000002,76.08042205909254,0.13249137855952917
P2-3-T-589-04,113.4,2023,P2-3-T-589-04.post10-11,185.32000000000002,76.08042205909254,-0.9453154708334678
P2-3-T-596-04,220.8,2011,P2-3-T-596-04.01_Pre,185.32000000000002,76.08042205909254,0.4663486221519942
P2-3-T-596-04,377.1,2012,P2-3-T-596-04.post0-1,185.32000000000002,76.08042205909254,2.520753628982792
P2-3-T-596-04,195.4,2017,P2-3-T-596-04.post04-5,185.32000000000002,76.08042205909254,0.13249137855952917
P2-3-T-596-04,113.4,2023,P2-3-T-596-04.post10-11,185.32000000000002,76.08042205909254,-0.9453154708334678
P2-3-T-601-02,220.8,2011,P2-3-T-601-02.01_Pre,185.32000000000002,76.08042205909254,0.4663486221519942
P2-3-T-601-02,377.1,2012,P2-3-T-601-02.post0-1,185.32000000000002,76.08042205909254,2.520753628982792
P2-3-T-601-02,195.4,2017,P2-3-T-601-02.post04-5,185.32000000000002,76.08042205909254,0.13249137855952917
P2-3-T-601-02,113.4,2023,P2-3-T-601-02.post10-11,185.32000000000002,76.08042205909254,-0.9453154708334678
P2-3-T-601-04,220.8,2011,P2-3-T-601-04.01_Pre,185.32000000000002,76.08042205909254,0.4663486221519942
P2-3-T-601-04,377.1,2012,P2-3-T-601-04.post0-1,185.32000000000002,76.08042205909254,2.520753628982792
P2-3-T-601-04,195.4,2017,P2-3-T-601-04.post04-5,185.32000000000002,76.08042205909254,0.13249137855952917
P2-3-T-601-04,113.4,2023,P2-3-T-601-04.post10-11,185.32000000000002,76.08042205909254,-0.9453154708334678
P2-3-T-602-01,220.8,2011,P2-3-T-602-01.01_Pre,185.32000000000002,76.08042205909254,0.4663486221519942
P2-3-T-602-01,377.1,2012,P2-3-T-602-01.post0-1,185.32000000000002,76.08042205909254,2.520753628982792
P2-3-T-602-01,195.4,2017,P2-3-T-602-01.post04-5,185.32000000000002,76.08042205909254,0.13249137855952917
P2-3-T-602-01,113.4,2023,P2-3-T-602-01.post10-11,185.32000000000002,76.08042205909254,-0.9453154708334678
P2-3-T-602-06,220.8,2011,P2-3-T-602-06.01_Pre,185.32000000000002,76.08042205909254,0.4663486221519942
P2-3-T-602-06,377.1,2012,P2-3-T-602-06.post0-1,185.32000000000002,76.08042205909254,2.520753628982792
P2-3-T-602-06,195.4,2017,P2-3-T-602-06.post04-5,185.32000000000002,76.08042205909254,0.13249137855952917
P2-3-T-602-06,113.4,2023,P2-3-T-602-06.post10-11,185.32000000000002,76.08042205909254,-0.9453154708334678
P2-3-T-603-05,220.8,2011,P2-3-T-603-05.01_Pre,185.32000000000002,76.08042205909254,0.4663486221519942
P2-3-T-603-05,377.1,2012,P2-3-T-603-05.post0-1,185.32000000000002,76.08042205909254,2.520753628982792
P2-3-T-603-05,195.4,2017,P2-3-T-603-05.post04-5,185.32000000000002,76.08042205909254,0.13249137855952917
P2-3-T-603-05,113.4,2023,P2-3-T-603-05.post10-11,185.32000000000002,76.08042205909254,-0.9453154708334678
P2-3-T-604-01,220.8,2011,P2-3-T-604-01.01_Pre,185.32000000000002,76.08042205909254,0.4663486221519942
P2-3-T-604-01,377.1,2012,P2-3-T-604-01.post0-1,185.32000000000002,76.08042205909254,2.520753628982792
P2-3-T-604-01,195.4,2017,P2-3-T-604-01.post04-5,185.32000000000002,76.08042205909254,0.13249137855952917
P2-3-T-604-01,113.4,2023,P2-3-T-604-01.post10-11,185.32000000000002,76.08042205909254,-0.9453154708334678
P2-3-T-606-01,220.8,2011,P2-3-T-606-01.01_Pre,185.32000000000002,76.08042205909254,0.4663486221519942
P2-3-T-606-01,377.1,2012,P2-3-T-606-01.post0-1,185.32000000000002,76.08042205909254,2.520753628982792
P2-3-T-606-01,195.4,2017,P2-3-T-606-01.post04-5,185.32000000000002,76.08042205909254,0.13249137855952917
P2-3-T-606-01,113.4,2023,P2-3-T-606-01.post10-11,185.32000000000002,76.08042205909254,-0.9453154708334678
