block,trt,year,plot,cover_exotics,invaded,seedling_density_ha,sapling_density_ha,ba_m2_ha,burned,treated,cover_native,nspp_native,nspp_exotic,rel_exotic_richness,rel_exotic_cover
2,TRT: Burn,2002,2_9,0,0,8500,59.974465200000004,16.78417853762551,burned,treated,20.541666668,14,0,0,0
2,TRT: Burn,2002,2_12,0,0,2500,139.9404188,14.454950664784928,burned,treated,20.541666667,17,0,0,0
2,TRT: Burn,2002,2_18,0,0,3000,19.9914884,1.1772030837384706,burned,treated,20.375000001,24,0,0,0
2,TRT: Burn,2002,2_22,0.166666667,1,3500,1399.4041884,13.303504085217295,burned,treated,15.666666669,19,2,0.09523809523809523,0.010526315808753463
2,TRT: Burn,2002,2_24,0.125,1,3000,1979.157352,12.231311059446988,burned,treated,20.708333334,17,2,0.10526315789473684,0.005999999999808
2,TRT: Burn,2002,2_26,0.416666667,1,8500,1439.3871648,3.278154733179154,burned,treated,19.875000002,24,2,0.07692307692307693,0.020533880917556677
2,TRT: Burn,2002,2_29,0.041666667,1,2000,1119.5233504,6.348574038144395,burned,treated,11.500000001,22,1,0.043478260869565216,0.003610108331712912
2,TRT: Burn,2002,2_33,0,0,1500,2458.9530736,6.8614278789633465,burned,treated,6.25,18,0,0,0
2,TRT: Burn,2022,2_2,0,0,3500,740,6.58902193820053,burned,treated,69.375,15,0,0,0
2,TRT: Burn,2022,2_5,0,0,3500,2900,5.693365235139484,burned,treated,46.166666663,20,0,0,0
2,TRT: Burn,2022,2_9,0.25,1,10500,1360,11.835687371967103,burned,treated,35.833333334,18,1,0.05263157894736842,0.006928406466384694
2,TRT: Burn,2022,2_12,0,0,5500,1320,10.550911416432855,burned,treated,61.708333332,16,0,0,0
2,TRT: Burn,2022,2_18,0,0,6500,1620,1.0597978348149601,burned,treated,44.041666671,24,0,0,0
2,TRT: Burn,2022,2_22,0,0,3500,2420,9.390447132762215,burned,treated,59.708333339,16,0,0,0
2,TRT: Burn,2022,2_24,0,0,500,3260,12.084798280890874,burned,treated,61.166666673,14,0,0,0
2,TRT: Burn,2022,2_26,0,0,4500,1560,5.526314476438933,burned,treated,53.041666671,15,0,0,0
2,TRT: Burn,2022,2_29,0,0,1000,1160,6.956094348258202,burned,treated,43.375000003,20,0,0,0
2,TRT: Burn,2022,2_33,0,0,2500,720,12.665462531604204,burned,treated,14.499999999,16,0,0,0
2,Control,2002,2_2,0,0,14490,3158.6551668,8.082840627244764,unburned,0untreated,25.416666667,25,0,0,0
2,Control,2002,2_5,0.041666667,1,2000,219.9063724,8.788785487123397,unburned,0untreated,18.833333336,17,1,0.05555555555555555,0.002207505536072979
2,Control,2002,2_9,0.041666667,1,2500,1099.531862,6.261905101894629,unburned,0untreated,10.833333334,25,1,0.038461538461538464,0.0038314176548200993
2,Control,2002,2_12,0.083333334,1,5000,1619.3105608,15.12436754550373,unburned,0untreated,37.625,20,2,0.09090909090909091,0.0022099447690217024
2,Control,2002,2_18,0,0,10500,2179.0722354,8.267340139492193,unburned,0untreated,11.041666667,17,0,0,0
2,Control,2002,2_22,0.125,1,6000,3098.680702,5.299385531925117,unburned,0untreated,18.791666671999998,25,1,0.038461538461538464,0.006607929513555474
2,Control,2002,2_24,0.125000001,1,8500,1119.5233504,12.638773122663519,unburned,0untreated,20.625000002,23,3,0.11538461538461539,0.006024096432863986
2,Control,2002,2_26,0,0,7500,1099.5318622,9.030667369345379,unburned,0untreated,19.875000001,21,0,0,0
2,Control,2002,2_29,0.041666667,1,10500,1479.3701412,4.902902130755698,unburned,0untreated,12.375000001,20,1,0.047619047619047616,0.0033557047244718707
2,Control,2002,2_33,0,0,6000,659.7191172,21.565313231070988,unburned,0untreated,23.458333334,20,0,0,0
2,Control,2022,2_2,0,0,4500,5380,9.98829890116653,unburned,0untreated,41.125,16,0,0,0
2,Control,2022,2_5,0,0,2000,360,6.082949532476837,unburned,0untreated,34.416666667,14,0,0,0
2,Control,2022,2_9,0,0,4500,1880,2.561512715408462,unburned,0untreated,33.125,18,0,0,0
