SpeciesCode,CodeType,prevalence,FinalName,Family,GrowthForm,Lifespan,NativityL48
POPA2,Graminoid,5,NA,NA,NA,NA,NA
PSMA11,Forb,5,Pseudognaphalium macounii,Asteraceae,forb,short-lived,native
SASC,Shrub,5,Salix scouleriana,Salicaceae,shrub,long-lived,native
SOMI2,Forb,5,NA,NA,NA,NA,NA
SYMPH,Shrub,5,Symphoricarpos,Caprifoliaceae,shrub,long-lived,native
SYOC,Shrub,5,NA,NA,NA,NA,NA
2SHRUB,Shrub,4,NA,NA,NA,NA,NA
ACNE9,Graminoid,4,Achnatherum nelsonii,Poaceae,graminoid,long-lived,native
AGSC5,Graminoid,4,Agrostis scabra,Poaceae,graminoid,long-lived,native
BLTR,Graminoid,4,NA,NA,NA,NA,NA
CIRSI,Forb,4,NA,NA,NA,NA,NA
CIUN,Forb,4,Cirsium undulatum,Asteraceae,forb,short-lived,native
DRABA,Forb,4,NA,NA,NA,NA,NA
LIVU2,Forb,4,Linaria vulgaris,Scrophulariaceae,forb,long-lived,exotic
POCU3,Graminoid,4,Poa cusickii,Poaceae,graminoid,long-lived,native
SEER2,Forb,4,Senecio eremophilus,Asteraceae,forb,long-lived,native
SEIN2,Forb,4,Senecio integerrimus,Asteraceae,forb,short-lived,native
SYMPH4,Forb,4,Symphyotrichum,Asteraceae,forb,unknown,unknown
ASTER,Forb,3,NA,NA,NA,NA,NA
ASTERACEAE,Forb,3,NA,NA,NA,NA,NA
CASTI2,Forb,3,NA,NA,NA,NA,NA
DASP2,Graminoid,3,Danthonia spicata,Poaceae,graminoid,long-lived,native
DRNE,Forb,3,NA,NA,NA,NA,NA
GIOP,Forb,3,NA,NA,NA,NA,NA
HOJU,Graminoid,3,Hordeum jubatum,Poaceae,graminoid,long-lived,native
LIDA,Forb,3,Linaria dalmatica,Scrophulariaceae,forb,long-lived,exotic
PAWE4,Forb,3,NA,NA,NA,NA,NA
PENST,Forb,3,NA,NA,NA,NA,NA
PEUN,Forb,3,Penstemon unilateralis,Scrophulariaceae,forb,long-lived,native
PODO4,Forb,3,NA,NA,NA,NA,NA
POSA19,Forb,3,NA,NA,NA,NA,NA
RIMO2,Shrub,3,NA,NA,NA,NA,NA
SONA,Forb,3,NA,NA,NA,NA,NA
SYRO,Shrub,3,NA,NA,NA,NA,NA
VACCI,Shrub,3,Vaccinium,Ericaceae,shrub,long-lived,native
WOOR,Forb,3,NA,NA,NA,NA,NA
ARLA4,Forb,2,NA,NA,NA,NA,NA
ASCA11,Forb,2,NA,NA,NA,NA,NA
BOGR2,Graminoid,2,Bouteloua gracilis,Poaceae,graminoid,long-lived,native
BRCA5,Graminoid,2,Bromus carinatus,Poaceae,graminoid,long-lived,native
CAGE2,Graminoid,2,NA,NA,NA,NA,NA
CIVU,Forb,2,NA,NA,NA,NA,NA
COCA5,Forb,2,Conyza canadensis,Asteraceae,forb,short-lived,native
DACA3,Graminoid,2,NA,NA,NA,NA,NA
DANTH,Graminoid,2,Danthonia,Poaceae,graminoid,long-lived,native
LASC3,Forb,2,NA,NA,NA,NA,NA
LEMO3,Forb,2,NA,NA,NA,NA,NA
LUPIN,Forb,2,NA,NA,NA,NA,NA
OECO2,Forb,2,NA,NA,NA,NA,NA
OPUNT,Forb,2,Opuntia,Cactaceae,shrub,long-lived,native
OXSE,Forb,2,NA,NA,NA,NA,NA
PAJA,Forb,2,Paronychia jamesii,Caryophyllaceae,forb,long-lived,native
PHYSA2,Forb,2,NA,NA,NA,NA,NA
SCSC,Graminoid,2,Schizachyrium scoparium,Poaceae,graminoid,long-lived,native
SECR,Forb,2,NA,NA,NA,NA,NA
SERA,Forb,2,NA,NA,NA,NA,NA
SESE2,Forb,2,NA,NA,NA,NA,NA
SOMO,Forb,2,NA,NA,NA,NA,NA
SONE,Forb,2,NA,NA,NA,NA,NA
AGGI2,Graminoid,1,Agrostis gigantea,Poaceae,graminoid,long-lived,exotic
ALTE,Forb,1,Allium textile,Liliaceae,forb,long-lived,native
ANAN2,Forb,1,NA,NA,NA,NA,NA
ANLU2,Forb,1,NA,NA,NA,NA,NA
ANMA,Forb,1,Anaphalis margaritacea,Asteraceae,forb,long-lived,native
ARHI,Forb,1,NA,NA,NA,NA,NA
ARNIC,Forb,1,NA,NA,NA,NA,NA
BRGR,Forb,1,Brickellia grandiflora,Asteraceae,forb,long-lived,native
CAAQ,Graminoid,1,NA,NA,NA,NA,NA
CABU,Forb,1,NA,NA,NA,NA,NA
CAGU,Forb,1,NA,NA,NA,NA,NA
CALI4,Forb,1,Castilleja linariifolia,Scrophulariaceae,forb,long-lived,native
CAPR5,Graminoid,1,NA,NA,NA,NA,NA
CASI12,Graminoid,1,NA,NA,NA,NA,NA
CEVE,Shrub,1,Ceanothus velutinus,Rhamnaceae,shrub,long-lived,native
CHAL7,Forb,1,Chenopodium album,Chenopodiaceae,forb,short-lived,exotic
CICL,Forb,1,NA,NA,NA,NA,NA
CLEMA,Forb,1,NA,NA,NA,NA,NA
CLOC2,Forb,1,Clematis occidentalis,Ranunculaceae,forb,long-lived,native
DAIN,Graminoid,1,NA,NA,NA,NA,NA
DEIN5,Forb,1,Descurainia incana,Brassicaceae,forb,short-lived,native
ELCA4,Graminoid,1,Elymus canadensis,Poaceae,graminoid,long-lived,native
ELLA3,Graminoid,1,NA,NA,NA,NA,NA
EPCI,Forb,1,Epilobium ciliatum,Onagraceae,forb,long-lived,native
ERCA2,Forb,1,NA,NA,NA,NA,NA
ERCA4,Forb,1,NA,NA,NA,NA,NA
EREL9,Forb,1,NA,NA,NA,NA,NA
ERPU2,Forb,1,NA,NA,NA,NA,NA
GNPA,Forb,1,NA,NA,NA,NA,NA
HECO26,Graminoid,1,Hesperostipa comata,Poaceae,graminoid,long-lived,native
HEPU3,Forb,1,Helianthus pumilus,Asteraceae,forb,long-lived,native
HIERA,Forb,1,NA,NA,NA,NA,NA
HORDE,Graminoid,1,NA,NA,NA,NA,NA
LILE3,Forb,1,NA,NA,NA,NA,NA
LITHO3,Forb,1,Lithospermum,Boraginaceae,forb,long-lived,native
MUAS,Graminoid,1,Muhlenbergia asperifolia,Poaceae,graminoid,long-lived,native
NECA2,Forb,1,Nepeta cataria,Lamiaceae,forb,long-lived,exotic
OECA10,Forb,1,NA,NA,NA,NA,NA
OXYTR,Forb,1,NA,NA,NA,NA,NA
PASM,Graminoid,1,Pascopyrum smithii,Poaceae,graminoid,long-lived,native
PATR7,Forb,1,NA,NA,NA,NA,NA
PHPR3,Graminoid,1,Phleum pratense,Poaceae,graminoid,long-lived,exotic
PIEX4,Graminoid,1,NA,NA,NA,NA,NA
POPE8,Forb,1,NA,NA,NA,NA,NA
RHTR,Shrub,1,Rhus trilobata,Anacardiaceae,shrub,long-lived,native
RIAM2,Shrub,1,NA,NA,NA,NA,NA
RIBES,Shrub,1,NA,NA,NA,NA,NA
RIVI3,Shrub,1,NA,NA,NA,NA,NA
ROAR3,Shrub,1,Rosa arkansana,Rosaceae,shrub,long-lived,native
SCLA,Forb,1,NA,NA,NA,NA,NA
SESP3,Forb,1,Senecio spartioides,Asteraceae,forb,long-lived,native
SIAL2,Forb,1,Sisymbrium altissimum,Brassicaceae,forb,short-lived,exotic
SIAN2,Forb,1,Silene antirrhina,Caryophyllaceae,forb,short-lived,native
SILEN,Forb,1,NA,NA,NA,NA,NA
SOVE6,Forb,1,NA,NA,NA,NA,NA
STAM2,Forb,1,NA,NA,NA,NA,NA
THAR5,Forb,1,Thlaspi arvense,Brassicaceae,forb,short-lived,exotic
THDI4,Forb,1,Thermopsis divaricarpa,Fabaceae,forb,long-lived,native
TROC,Forb,1,Tradescantia occidentalis,Commelinaceae,forb,long-lived,native
VAOC2,Forb,1,NA,NA,NA,NA,NA
