BLOCK,PLOT,SIZE,TRT,SPECIES,DENSITY_HA,YEAR
3,9,medium,bo,PIPO,1039.557397,2002
3,9,small,bo,PICO,139.9404188,2002
3,9,small,bo,PSME,759.6765592,2002
3,9,small,bo,PIPO,3658.442377,2002
3,12,large,bo,PSME,39.9829768,2002
3,12,large,bo,PIPO,39.9829768,2002
3,12,medium,bo,PSME,59.9744652,2002
3,12,medium,bo,PIPO,19.9914884,2002
3,12,small,bo,PSME,79.9659536,2002
3,12,small,bo,PIPO,139.9404188,2002
3,18,large,bo,PICO,39.9829768,2002
3,18,large,bo,PSME,99.957442,2002
3,18,large,bo,PIPO,79.9659536,2002
3,18,medium,bo,PICO,39.9829768,2002
3,18,medium,bo,PSME,119.9489304,2002
3,18,medium,bo,PIPO,399.829768,2002
3,18,small,bo,PICO,19.9914884,2002
3,18,small,bo,PSME,79.9659536,2002
3,18,small,bo,PIPO,939.5999548,2002
3,22,large,bo,PSME,19.9914884,2002
3,22,large,bo,PIPO,179.9233956,2002
3,22,medium,bo,PICO,19.9914884,2002
3,22,medium,bo,PIPO,799.659536,2002
3,22,small,bo,PSME,39.9829768,2002
3,22,small,bo,PIPO,2598.893492,2002
3,24,large,bo,PIPO,299.872326,2002
3,24,medium,bo,PIPO,299.872326,2002
3,24,small,bo,PSME,119.9489304,2002
3,24,small,bo,PIPO,199.914884,2002
3,26,large,bo,PICO,19.9914884,2002
3,26,large,bo,PIPO,139.9404188,2002
3,26,medium,bo,PSME,99.957442,2002
3,26,medium,bo,PIPO,139.9404188,2002
3,26,small,bo,PSME,619.7361404,2002
3,26,small,bo,PIPO,199.914884,2002
3,29,large,bo,PSME,79.9659536,2002
3,29,large,bo,PIPO,79.9659536,2002
3,29,medium,bo,PSME,239.8978608,2002
3,29,medium,bo,PIPO,479.7957216,2002
3,29,small,bo,PSME,879.6254896,2002
3,29,small,bo,PIPO,5177.795496,2002
3,33,large,bo,PSME,39.9829768,2002
3,33,large,bo,PIPO,199.914884,2002
3,33,medium,bo,PICO,19.9914884,2002
3,33,medium,bo,PSME,59.9744652,2002
3,33,medium,bo,PIPO,459.8042332,2002
3,33,small,bo,PICO,19.9914884,2002
3,33,small,bo,PSME,499.78721,2002
3,33,small,bo,PIPO,1539.344607,2002
3,2,large,co,PSME,59.9744652,2002
3,2,medium,co,PSME,479.7957216,2002
3,2,small,co,PSME,2678.859446,2002
3,2,small,co,PIPO,199.914884,2002
3,5,large,co,PSME,19.9914884,2002
3,5,large,co,PIPO,39.9829768,2002
3,5,medium,co,PSME,19.9914884,2002
3,5,medium,co,PIPO,79.9659536,2002
3,5,small,co,JUSC,19.9914884,2002
3,5,small,co,PSME,419.8212564,2002
3,5,small,co,PIPO,79.9659536,2002
3,9,large,co,PSME,179.9233956,2002
3,9,large,co,PIPO,19.9914884,2002
3,9,medium,co,PICO,19.9914884,2002
3,9,medium,co,PSME,739.6850708,2002
3,9,small,co,PSME,2478.944562,2002
3,9,small,co,PIPO,199.914884,2002
3,12,large,co,PSME,59.9744652,2002
3,12,medium,co,PSME,239.8978608,2002
3,12,medium,co,PIPO,79.9659536,2002
3,12,small,co,PSME,1899.191398,2002
3,12,small,co,PIPO,1599.319072,2002
3,18,large,co,PICO,19.9914884,2002
3,18,large,co,PSME,59.9744652,2002
3,18,medium,co,PICO,39.9829768,2002
3,18,medium,co,PSME,59.9744652,2002
3,18,medium,co,PIPO,119.9489304,2002
3,18,small,co,PICO,79.9659536,2002
3,18,small,co,PSME,1079.540374,2002
3,18,small,co,PIPO,1399.404188,2002
3,22,large,co,PSME,59.9744652,2002
3,22,large,co,PIPO,19.9914884,2002
3,22,medium,co,PSME,159.9319072,2002
3,22,small,co,PSME,2239.046701,2002
3,22,small,co,PIPO,219.9063724,2002
3,24,large,co,PSME,39.9829768,2002
3,24,large,co,PIPO,39.9829768,2002
3,24,medium,co,PSME,19.9914884,2002
3,24,medium,co,PIPO,19.9914884,2002
3,24,small,co,PSME,59.9744652,2002
3,26,large,co,PSME,79.9659536,2002
3,26,large,co,PIPO,39.9829768,2002
3,26,medium,co,PIPO,179.9233956,2002
3,26,small,co,PSME,139.9404188,2002
3,26,small,co,PIPO,1519.353118,2002
3,29,large,co,PSME,119.9489304,2002
3,29,medium,co,PSME,79.9659536,2002
3,29,medium,co,PIPO,19.9914884,2002
3,29,small,co,PSME,219.9063724,2002
3,29,small,co,PIPO,259.8893492,2002
3,33,large,co,PSME,39.9829768,2002
3,33,medium,co,PSME,39.9829768,2002
3,33,small,co,PSME,139.9404188,2002
3,33,small,co,PIPO,39.9829768,2002
3,2,large,tb,PIPO,39.9829768,2002
3,2,small,tb,PIPO,79.9659536,2002
3,5,large,tb,PIPO,39.9829768,2002
3,5,medium,tb,PIPO,19.9914884,2002
3,5,small,tb,PSME,19.9914884,2002
3,5,small,tb,PIPO,19.9914884,2002
3,18,large,tb,PIPO,19.9914884,2002
3,18,medium,tb,PSME,19.9914884,2002
3,18,medium,tb,PIPO,59.9744652,2002
3,18,small,tb,PSME,59.9744652,2002
3,18,small,tb,PIPO,59.9744652,2002
3,24,medium,tb,PIPO,19.9914884,2002
3,33,large,tb,PICO,99.957442,2002
3,33,large,tb,PIPO,39.9829768,2002
3,2,large,to,PIPO,19.9914884,2002
3,2,medium,to,PSME,19.9914884,2002
3,2,small,to,PSME,19.9914884,2002
3,2,small,to,PIPO,39.9829768,2002
3,5,large,to,PICO,19.9914884,2002
3,5,large,to,PSME,19.9914884,2002
3,5,large,to,PIPO,39.9829768,2002
3,5,medium,to,PSME,59.9744652,2002
3,5,medium,to,PIPO,279.8808376,2002
3,5,small,to,PICO,19.9914884,2002
3,5,small,to,PSME,279.8808376,2002
3,5,small,to,PIPO,779.6680476,2002
3,9,large,to,PICO,19.9914884,2002
3,9,large,to,PIPO,39.9829768,2002
3,9,medium,to,PICO,19.9914884,2002
3,9,small,to,PSME,39.9829768,2002
3,12,large,to,PSME,19.9914884,2002
3,12,medium,to,JUSC,19.9914884,2002
3,12,medium,to,PSME,119.9489304,2002
3,12,small,to,PSME,1919.182886,2002
3,12,small,to,PIPO,19.9914884,2002
3,18,large,to,PIPO,419.8212564,2002
3,18,medium,to,PSME,59.9744652,2002
3,18,medium,to,PIPO,1179.497816,2002
3,18,small,to,PICO,19.9914884,2002
3,18,small,to,PSME,199.914884,2002
3,18,small,to,PIPO,2878.77433,2002
3,22,large,to,PSME,19.9914884,2002
3,22,large,to,PIPO,39.9829768,2002
3,22,medium,to,PICO,19.9914884,2002
3,22,medium,to,PSME,19.9914884,2002
3,22,small,to,JUSC,19.9914884,2002
3,22,small,to,PSME,119.9489304,2002
3,22,small,to,PIPO,19.9914884,2002
3,24,large,to,JUSC,19.9914884,2002
3,24,large,to,PICO,19.9914884,2002
3,24,large,to,PSME,39.9829768,2002
3,24,large,to,PIPO,19.9914884,2002
3,24,medium,to,JUSC,19.9914884,2002
3,24,medium,to,PICO,39.9829768,2002
3,24,medium,to,PSME,59.9744652,2002
3,24,medium,to,PIPO,99.957442,2002
3,24,small,to,PICO,39.9829768,2002
3,24,small,to,PSME,239.8978608,2002
3,24,small,to,PIPO,559.7616752,2002
3,26,large,to,PSME,39.9829768,2002
3,26,medium,to,PSME,39.9829768,2002
3,26,medium,to,PIPO,19.9914884,2002
3,26,small,to,JUSC,19.9914884,2002
3,26,small,to,PSME,179.9233956,2002
3,28,large,to,PIPO,139.9404188,2002
3,28,medium,to,PSME,19.9914884,2002
