BLOCK,TRT,PLOT,LOAD.1HR,LOAD.10HR,LOAD.100HR,LOAD.S1000HR,LOAD.R1000HR,LOAD.FLOOR,FWD,YEAR
2,co ,6,0.381089,3.071129,0,1.658858,72.900084,62.050256,3.452218,2002
2,co ,6,0.453111683,1.508197826,1.464360935,0,0.752272376,85.20349058,3.425670444,2022
2,co ,6,0.515591,4.4273575,0,0,0,69.21493033,4.9429485,2010
2,co ,6,0.591015238,6.786890219,0,0,1.387749228,24.96436566,7.377905457,2016
2,co ,7,0.039401016,2.639346196,0,7.933433688,1.803574979,21.30248482,2.678747212,2022
2,co ,7,0.4819655,1.0199735,0,1.883028,6.769934,19.99598407,1.501939,2010
2,co ,7,0.512213206,2.26229674,5.857443738,5.106245838,19.84544333,21.73236274,8.631953684,2016
2,co ,7,0.650093,1.367437,2.712457,23.98619,8.406375,17.171422,4.729987,2002
2,co ,8,0.216705587,3.770494566,1.464360935,23.88693111,9.130598329,20.18163482,5.451561088,2022
2,co ,8,0.7958035,3.071129,1.3562285,0,0,21.59169184,5.223161,2010
2,co ,8,0.829429,1.703692,2.712457,4.438566,12.934609,14.167544,5.245578,2002
2,co ,8,1.477538096,13.95082989,19.03669215,29.07140579,0,21.26108073,34.46506014,2016
2,co ,9,0.415774074,6.062880227,13.24498073,4.618529676,0,16.71082349,19.72363503,2022
2,co ,9,0.425923,1.703692,1.367437,0,7.868367,30.800958,3.497052,2002
2,co ,9,0.4595485,0.6837185,0,0,0,24.70551559,1.143267,2010
2,co ,9,0.514767902,2.273580085,13.24498073,7.100283089,0,25.67762349,16.03332872,2016
2,co ,10,0.044834,0,1.367437,0,0,10.849828,1.412271,2002
2,co ,10,0.067251,1.0199735,0,0,0,10.45981605,1.0872245,2010
2,co ,10,0.197005079,0.754098913,0,0,0,33.05545889,0.951103993,2016
2,co ,10,0.630416254,5.278692392,11.71488748,0,0,13.56162874,17.62399612,2022
2,co ,11,0.134502,0,0,1.277769,0,9.370306,0.134502,2002
2,co ,11,0.179336,0,1.3562285,1.277769,0,24.65399131,1.5355645,2010
2,co ,11,0.728918794,0,2.928721869,0,0.909432034,25.69990924,3.657640663,2016
2,co ,11,1.319934032,6.032791306,1.464360935,1.669976832,0,18.6309069,8.817086272,2022
2,co ,12,0.134502,3.429801,0,0,0,19.928713,3.564303,2002
2,co ,12,0.178188889,3.789300142,7.358322628,13.08739969,8.304742599,21.64638716,11.32581166,2022
2,co ,12,0.237585185,1.515720057,8.829987154,11.098847,0,35.27487314,10.5832924,2016
2,co ,12,0.246587,1.7149005,2.7236655,0,0,30.20896475,4.685153,2010
2,co ,13,0.178188889,4.54716017,20.60330336,40.12536833,42.64859895,99.72996908,25.32865242,2022
2,co ,13,0.336579013,3.789300142,10.30165168,39.48214736,16.48227556,6.941622665,14.42753083,2016
2,co ,13,0.538008,3.093546,5.447331,21.408235,15.355645,62.745183,9.078885,2002
2,co ,13,0.829429,3.429801,9.5384335,19.480373,7.195857,46.97882451,13.7976635,2010
2,co ,14,0,0,1.464360935,1.428873927,0,42.64954114,1.464360935,2022
2,co ,14,0.09850254,2.639346196,7.321804673,0,0,23.15571099,10.05965341,2016
2,co ,14,1.2665605,6.478513,4.0686855,0,0,57.71088123,11.813759,2010
2,co ,14,1.322603,3.743639,13.562285,3.160797,0,85.85711,18.628527,2002
2,co ,15,0.512213206,2.26229674,10.25052654,35.90972057,8.828436896,53.62240013,13.02503649,2022
2,co ,15,0.76831981,3.393445109,2.928721869,18.91870377,28.56057142,27.57225374,7.090486788,2016
2,co ,15,1.524356,3.407384,2.712457,49.832991,6.209509,24.501781,7.644197,2002
2,co ,15,2.196866,4.0911025,4.0686855,8.4848345,18.4155655,41.00823557,10.356654,2010
2,co ,16,0.019700508,2.26229674,8.786165607,47.47117892,16.44040004,20.2676104,11.06816285,2022
2,co ,16,0.022417,6.142258,0,29.881861,0,18.583693,6.164675,2002
2,co ,16,0.078802032,9.803285872,7.321804673,6.882103316,15.33604504,6.963908413,17.20389258,2016
2,co ,16,0.089668,3.071129,0,24.053441,0,20.65036012,3.160797,2010
2,co ,17,0.118203048,0,0,44.84722782,0,20.97770082,0.118203048,2022
2,co ,17,0.134502,2.734874,0,8.9668,9.41514,12.037929,2.869376,2002
2,co ,17,0.334908635,0.754098913,0,2.518507859,11.70933079,15.43714066,1.089007548,2016
2,co ,17,0.7285525,1.703692,1.3562285,0,9.7850205,42.68899923,3.788473,2010
2,co ,18,0.019700508,0,2.928721869,1.136627981,0,34.51704382,2.948422377,2022
2,co ,18,0.67251,2.734874,0,7.038938,6.971687,10.110067,3.407384,2002
2,co ,18,1.2665605,3.0599205,0,0,2.3649935,13.99467407,4.326481,2010
2,co ,18,1.43813708,1.885247283,1.464360935,1.074115805,14.76568326,23.69385024,4.787745297,2016
2,co ,19,0.022417,2.376202,4.079894,41.112778,23.582684,27.102153,6.478513,2002
2,co ,19,0.157604064,1.508197826,4.393082804,53.89537105,2.198889807,20.52553716,6.058884694,2022
2,co ,19,0.236406095,14.70492881,5.857443738,30.38363125,6.092250581,13.71129416,20.79877864,2016
2,co ,19,0.605259,4.774821,1.3562285,0,3.833307,33.59829958,6.7363085,2010
2,co ,20,0,2.652510099,5.886658103,2.113564428,0,23.50278073,8.539168202,2022
2,co ,20,0.039597531,0,0,0,1.812570421,26.17119124,0.039597531,2016
2,co ,20,0.044834,1.367437,2.734874,0.941514,54.518144,27.752246,4.147145,2002
2,co ,20,0.493174,0.6837185,2.7236655,0,0,27.62857882,3.900558,2010
