BLOCK,TRT,PLOT,PTORCH,MORTALITY,ABOVEGROUND_LIVECARBON,CANOPY,STABLECARBON,YEAR
1,co ,29,0.298697919,0.4,50.07998025,27.82849488,30.04798815,2002
1,co ,29,0.749648511,0.96,28.74534466,14.61007114,1.149813786,2022
1,co ,33,0.824562371,0.56,44.79063153,29.53443534,19.70787787,2002
1,co ,33,0.978723407,0.99,21.45702334,13.80778296,0.214570233,2022
1,tb,2,0.030944422,0.2,24.71566947,13.75350798,19.77253557,2002
1,tb,2,8.51E-05,0.3,42.75850515,18.33942679,29.93095361,2022
1,tb,5,0,0.21,14.63266502,8.497874785,11.55980537,2002
1,tb,5,0.023222087,0.16,24.55384693,11.25172509,20.62523142,2022
1,tb,9,0,0.12,32.57683243,20.22292492,28.66761254,2002
1,tb,9,0.027838388,0.08,41.17435703,18.93542404,37.88040847,2022
1,tb,12,0,0.17,26.47024714,18.41666577,21.97030512,2002
1,tb,12,4.98E-06,0.12,40.90784387,23.18090599,35.99890261,2022
1,tb,18,0.002324431,0.16,9.076768954,6.210725261,7.624485921,2002
1,tb,18,0.162895724,0.16,16.0950689,9.296317239,13.51985788,2022
1,tb,22,0,0.2,7.082428018,5.897707961,5.665942414,2002
1,tb,22,0.066664062,0.26,7.897593549,5.731732504,5.844219226,2022
1,tb,24,1.63E-06,0.16,23.4441501,15.73387324,19.69308608,2002
1,tb,24,0,0.11,33.78125959,18.47455211,30.06532104,2022
1,tb,26,0.342600614,0.17,37.23972647,26.36795574,30.90897297,2002
1,tb,26,0.066667385,0.13,51.17200347,28.88215006,44.51964302,2022
1,tb,29,0,0.19,25.48164035,14.3625488,20.64012869,2002
1,tb,29,0,0.1,44.15148229,21.83841448,39.73633406,2022
1,tb,33,0.06760978,0.28,15.63742754,11.4302305,11.25894783,2002
1,tb,33,0.484230131,0.36,12.96760991,6.651177365,8.29927034,2022
1,to,2,0.120938815,0.21,10.85489612,8.079281283,8.575367935,2002
1,to,2,0.366666675,0.2,22.37543803,16.65252764,17.90035042,2022
1,to,5,0,0.22,11.62641474,6.936848469,9.068603493,2002
1,to,5,0.296317309,0.28,23.19384829,16.1381712,16.69957077,2022
1,to,9,0.111553095,0.51,29.48608248,15.53568343,14.44818041,2002
1,to,9,0,0.13,51.76410288,24.85541122,45.03476951,2022
1,to,12,0,0.11,34.34191762,19.82988837,30.56430668,2002
1,to,12,0,0.1,50.0714203,26.50695886,45.06427827,2022
1,to,18,0.288587689,0.34,25.94489573,15.02650595,17.12363118,2002
1,to,18,0.302158386,0.15,49.38454564,25.56126732,41.97686379,2022
1,to,22,0.210140601,0.22,20.21356968,12.17071739,15.76658435,2002
1,to,22,0.20246914,0.19,40.30555118,23.63152318,32.64749645,2022
1,to,24,0.559090912,0.98,23.8547459,18.22624678,0.477094918,2002
1,to,24,0.005654532,0.26,37.37311129,25.3015643,27.65610236,2022
1,to,26,0.107553877,0.14,21.94434236,15.25077247,18.87213443,2002
1,to,26,0.15101482,0.18,37.12953303,24.78570122,30.44621709,2022
1,to,29,0.082885697,0.24,17.68599936,13.04713158,13.44135951,2002
1,to,29,0.05197379,0.21,34.91360055,22.14048652,27.58174443,2022
1,to,33,0.000108703,0.15,30.38344788,16.21195621,25.82593069,2002
1,to,33,0.21974726,0.37,47.80467322,20.84637914,30.11694413,2022
2,bo,2,0,1,59.73589966,33.33848699,0,2002
2,bo,2,0.040592421,0.26,51.78377967,25.3270662,38.31999696,2022
2,bo,5,0.499924749,0.2,51.52362449,32.62123668,41.21889959,2002
2,bo,5,0.445556521,0.23,54.25511915,33.08515051,41.77644175,2022
2,bo,9,0.000700028,1,55.60810992,29.792706,0,2002
2,bo,9,0.144530088,0.99,65.95367461,31.6159194,0.659536746,2022
