accepted_symbol,synonym_symbol,scientific_name,common_name,growth_habit
ALGR,NA,Alisma gramineum Lej.,narrowleaf water plantain,forb
ALSU,NA,Alisma subcordatum Raf.,American water plantain,forb
ALTR7,NA,Alisma triviale Pursh,northern water plantain,forb
ALPE4,NA,Alliaria petiolata (M. Bieb.) Cavara & Grande,garlic mustard,forb
ALCH,NA,Allionia choisyi Standl.,annual windmills,forb
ALIN,NA,Allionia incarnata L.,trailing windmills,forb
ALINI,NA,Allionia incarnata L. var. incarnata,trailing windmills,forb
ALAC4,NA,Allium acuminatum Hook.,tapertip onion,forb
ALBR,NA,Allium brandegeei S. Watson,Brandegee's onion,forb
ALBR2,NA,Allium brevistylum S. Watson,shortstyle onion,forb
ALCE2,NA,Allium cernuum Roth,nodding onion,forb
ALCEC2,NA,Allium cernuum Roth var. cernuum,nodding onion,forb
ALCEO,NA,Allium cernuum Roth var. obtusum Cockerell ex J.F. Macbr.,nodding onion,forb
ALGE,NA,Allium geyeri S. Watson,Geyer's onion,forb
ALGEG,NA,Allium geyeri S. Watson var. geyeri,Geyer's onion,forb
ALGET,NA,Allium geyeri S. Watson var. tenerum M.E. Jones,bulbil onion,forb
ALMA4,NA,Allium macropetalum Rydb.,largeflower onion,forb
ALNE,NA,Allium nevadense S. Watson,Nevada onion,forb
ALSA2,NA,Allium sativum L.,cultivated garlic,forb
ALSC,NA,Allium schoenoprasum L.,wild chives,forb
ALSCS,NA,Allium schoenoprasum L. var. sibiricum (L.) Hartm.,wild chives,forb
ALTE,NA,Allium textile A. Nelson & J.F. Macbr.,textile onion,forb
ALPA14,NA,Almutaster pauciflorus (Nutt.) Á. Löve & D. Löve,alkali marsh aster,forb
ALAL3,NA,Alyssum alyssoides (L.) L.,pale madwort,forb
ALDE,NA,Alyssum desertorum Stapf,desert madwort,forb
ALDED,NA,Alyssum desertorum Stapf var. desertorum,desert madwort,forb
ALMU,NA,Alyssum murale Waldst. & Kit.,yellowtuft,forb
ALSI8,NA,Alyssum simplex Rudolphi,alyssum,forb
AMAL,NA,Amaranthus albus L.,prostrate pigweed,forb
AMAR,NA,Amaranthus arenicola I.M. Johnst.,sandhill amaranth,forb
AMBL,NA,Amaranthus blitoides S. Watson,mat amaranth,forb
AMHY,NA,Amaranthus hybridus L.,slim amaranth,forb
AMPA,NA,Amaranthus palmeri S. Watson,carelessweed,forb
AMPO2,NA,Amaranthus powellii S. Watson,Powell's amaranth,forb
AMPOP,NA,Amaranthus powellii S. Watson ssp. powellii,Powell's amaranth,forb
AMRE,NA,Amaranthus retroflexus L.,redroot amaranth,forb
AMTU,NA,Amaranthus tuberculatus (Moq.) Sauer,roughfruit amaranth,forb
AMWR,NA,Amaranthus wrightii S. Watson,Wright's amaranth,forb
AMAC2,NA,Ambrosia acanthicarpa Hook.,flatspine bur ragweed,forb
AMAR2,NA,Ambrosia artemisiifolia L.,annual ragweed,forb
AMARE,NA,Ambrosia artemisiifolia L. var. elatior (L.) Descourtils,annual ragweed,forb
AMCO3,NA,Ambrosia confertiflora DC.,weakleaf bur ragweed,forb
AMGR5,NA,Ambrosia grayi (A. Nelson) Shinners,woollyleaf bur ragweed,forb
AMPS,NA,Ambrosia psilostachya DC.,Cuman ragweed,forb
AMTO3,NA,Ambrosia tomentosa Nutt.,skeletonleaf bur ragweed,forb
AMTR,NA,Ambrosia trifida L.,great ragweed,forb
AMTRT2,NA,Ambrosia trifida L. var. trifida,great ragweed,forb
AMRO3,NA,Ammannia robusta Heer & Regel,grand redstem,forb
AMLY,NA,Amsinckia lycopsoides Lehm.,tarweed fiddleneck,forb
AMME,NA,Amsinckia menziesii (Lehm.) A. Nelson & J.F. Macbr.,Menzies' fiddleneck,forb
AMMEM2,NA,Amsinckia menziesii (Lehm.) A. Nelson & J.F. Macbr. var. menziesii,Menzies' fiddleneck,forb
AMJO,NA,Amsonia jonesii Woodson,Jones' bluestar,forb
ANAR,NA,Anagallis arvensis L.,scarlet pimpernel,forb
ANARF,NA,Anagallis arvensis L. ssp. foemina (Mill.) Schinz & Thell.,poorman's weatherglass,forb
ANMI4,NA,Anagallis minima (L.) Krause,chaffweed,forb
ANMA,NA,Anaphalis margaritacea (L.) Benth.,western pearly everlasting,forb
ANAZ,NA,Anchusa azurea Mill.,Italian bugloss,forb
ANOF,NA,Anchusa officinalis L.,common bugloss,forb
ANCH,NA,Androsace chamaejasme Wulfen,sweetflower rockjasmine,forb
ANCHC,NA,Androsace chamaejasme Wulfen ssp. carinata (Torr.) Hultén,sweetflower rockjasmine,forb
ANCHL,NA,Androsace chamaejasme Wulfen ssp. lehmanniana (Spreng.) Hultén,Lehmann's rockjasmine,forb
ANFI,NA,Androsace filiformis Retz.,filiform rockjasmine,forb
ANOC2,NA,Androsace occidentalis Pursh,western rockjasmine,forb
ANSE4,NA,Androsace septentrionalis L.,pygmyflower rockjasmine,forb
ANSEG2,NA,Androsace septentrionalis L. ssp. glandulosa (Wooton & Standl.) G.T. Robbins,pygmyflower rockjasmine,forb
ANSEP2,NA,Androsace septentrionalis L. ssp. puberulenta (Rydb.) G.T. Robbins,pygmyflower rockjasmine,forb
ANSES4,NA,Androsace septentrionalis L. ssp. subulifera (A. Gray) G.T. Robbins,pygmyflower rockjasmine,forb
