accepted_symbol,synonym_symbol,scientific_name,common_name,growth_habit
HYRIR,NA,Hymenoxys richardsonii (Hook.) Cockerell var. richardsonii,pingue rubberweed,forb
HYNI,NA,Hyoscyamus niger L.,black henbane,forb
HYMA2,NA,Hypericum majus (A. Gray) Britton,large St. Johnswort,forb
HYPE,NA,Hypericum perforatum L.,common St. Johnswort,forb
HYSC5,NA,Hypericum scouleri Hook.,Scouler's St. Johnswort,forb
HYSCN,NA,Hypericum scouleri Hook. ssp. nortoniae (M.E. Jones) J.M. Gillett,Norton's St. Johnswort,forb
HYRA3,NA,Hypochaeris radicata L.,hairy cat's ear,forb
HYHI2,NA,Hypoxis hirsuta (L.) Coville,common goldstar,forb
HYOF,NA,Hyssopus officinalis L.,hyssop,forb
IBAM,NA,Iberis amara L.,annual candytuft,forb
ILCR,NA,Iliamna crandallii (Rydb.) Wiggins,Crandall's wild hollyhock,forb
ILGR,NA,Iliamna grandiflora (Rydb.) Wiggins,largeflower wild hollyhock,forb
ILRI,NA,Iliamna rivularis (Douglas ex Hook.) Greene,streambank wild hollyhock,forb
ILRIR,NA,Iliamna rivularis (Douglas ex Hook.) Greene var. rivularis,streambank wild hollyhock,forb
IMCA,NA,Impatiens capensis Meerb.,jewelweed,forb
IPLE,NA,Ipomoea leptophylla Torr.,bush morning-glory,forb
IPPU2,NA,Ipomoea purpurea (L.) Roth,tall morning-glory,forb
IPAG,NA,Ipomopsis aggregata (Pursh) V.E. Grant,scarlet gilia,forb
IPAGA3,NA,Ipomopsis aggregata (Pursh) V.E. Grant ssp. aggregata,scarlet gilia,forb
IPAGA2,NA,Ipomopsis aggregata (Pursh) V.E. Grant ssp. attenuata (A. Gray) V.E. Grant & A.D. Grant,scarlet gilia,forb
IPAGC,NA,Ipomopsis aggregata (Pursh) V.E. Grant ssp. candida (Rydb.) V.E. Grant & A.D. Grant,scarlet gilia,forb
IPAGC2,NA,Ipomopsis aggregata (Pursh) V.E. Grant ssp. collina (Greene) Wilken & Allred,scarlet gilia,forb
IPAGF,NA,Ipomopsis aggregata (Pursh) V.E. Grant ssp. formosissima (Greene) Wherry,scarlet gilia,forb
IPAGW,NA,Ipomopsis aggregata (Pursh) V.E. Grant ssp. weberi V.E. Grant & Wilken,scarlet gilia,forb
IPCO5,NA,Ipomopsis congesta (Hook.) V.E. Grant,ballhead ipomopsis,forb
IPCOC3,NA,Ipomopsis congesta (Hook.) V.E. Grant ssp. congesta,ballhead ipomopsis,forb
IPCOC,NA,Ipomopsis congesta (Hook.) V.E. Grant ssp. crebrifolia (Nutt.) Day,ballhead ipomopsis,forb
IPCOF,NA,Ipomopsis congesta (Hook.) V.E. Grant ssp. frutescens (Rydb.) Day,ballhead ipomopsis,forb
IPGL,NA,Ipomopsis globularis (Brand) W.A. Weber,Hoosier Pass ipomopsis,forb
IPGU,NA,Ipomopsis gunnisonii (Torr. & A. Gray) V.E. Grant,sanddune ipomopsis,forb
IPLA2,NA,Ipomopsis laxiflora (J.M. Coult.) V.E. Grant,iron ipomopsis,forb
IPLO2,NA,Ipomopsis longiflora (Torr.) V.E. Grant,flaxflowered ipomopsis,forb
IPLOL,NA,Ipomopsis longiflora (Torr.) V.E. Grant ssp. longiflora,flaxflowered ipomopsis,forb
IPMU3,NA,Ipomopsis multiflora (Nutt.) V.E. Grant,manyflowered ipomopsis,forb
IPPO,NA,Ipomopsis polyantha (Rydb.) V.E. Grant,Pagosa ipomopsis,forb
IPPO2,NA,Ipomopsis polycladon (Torr.) V.E. Grant,manybranched ipomopsis,forb
IPPU4,NA,Ipomopsis pumila (Nutt.) V.E. Grant,dwarf ipomopsis,forb
IPRA,NA,Ipomopsis ramosa Al Schneid. & Bregar,coral ipomopsis,forb
IPRO,NA,Ipomopsis roseata (Rydb.) V.E. Grant,rosy ipomopsis,forb
IPSP,NA,Ipomopsis spicata (Nutt.) V.E. Grant,spiked ipomopsis,forb
IPSPC,NA,Ipomopsis spicata (Nutt.) V.E. Grant ssp. capitata (A. Gray) V.E. Grant,spiked ipomopsis,forb
IPSPS,NA,Ipomopsis spicata (Nutt.) V.E. Grant ssp. spicata,spiked ipomopsis,forb
IPTE4,NA,Ipomopsis tenuituba (Rydb.) V.E. Grant,slendertube skyrocket,forb
IPTET2,NA,Ipomopsis tenuituba (Rydb.) V.E. Grant ssp. tenuituba,slendertube skyrocket,forb
IRMI,NA,Iris missouriensis Nutt.,Rocky Mountain iris,forb
ISTI,NA,Isatis tinctoria L.,Dyer's woad,forb
ISPL,NA,Isocoma pluriflora (Torr. & A. Gray) Greene,southern goldenbush,forb
IVAN2,NA,Iva annua L.,annual marsh elder,forb
IVANA,NA,Iva annua L. var. annua,annual marsh elder,forb
IVAX,NA,Iva axillaris Pursh,povertyweed,forb
IVGO,NA,Ivesia gordonii (Hook.) Torr. & A. Gray,Gordon's ivesia,forb
KAPA,NA,Kallstroemia parviflora J.B.S. Norton,warty caltrop,forb
KNAR,NA,Knautia arvensis (L.) J.M. Coult.,field scabiosa,forb
KOIS,NA,Koenigia islandica L.,island purslane,forb
KRLA,NA,Krameria lanceolata Torr.,trailing krameria,forb
KRBI,NA,Krigia biflora (Walter) S.F. Blake,twoflower dwarfdandelion,forb
KRBIB,NA,Krigia biflora (Walter) S.F. Blake var. biflora,twoflower dwarfdandelion,forb
LABI,NA,Lactuca biennis (Moench) Fernald,tall blue lettuce,forb
LACA,NA,Lactuca canadensis L.,Canada lettuce,forb
LAGR,NA,Lactuca graminifolia Michx.,grassleaf lettuce,forb
LAGRA,NA,Lactuca graminifolia Michx. var. arizonica McVaugh,grassleaf lettuce,forb
LALU,NA,Lactuca ludoviciana (Nutt.) Riddell,biannual lettuce,forb
LASE,NA,Lactuca serriola L.,prickly lettuce,forb
LATA,NA,Lactuca tatarica (L.) C.A. Mey.,blue lettuce,forb
LATAP,NA,Lactuca tatarica (L.) C.A. Mey. var. pulchella (Pursh) Breitung,blue lettuce,forb
LACO13,NA,Laennecia coulteri (A. Gray) G.L. Nesom,Coulter's horseweed,forb
LASC3,NA,Laennecia schiedeana (Less.) G.L. Nesom,pineland horseweed,forb
LAAM,NA,Lamium amplexicaule L.,henbit deadnettle,forb
LAPU2,NA,Lamium purpureum L.,purple deadnettle,forb
LAPUP,NA,Lamium purpureum L. var. purpureum,purple deadnettle,forb
LAMA9,NA,Lappula marginata (M. Bieb.) Guerke,margined stickseed,forb
LAOC3,NA,Lappula occidentalis (S. Watson) Greene,flatspine stickseed,forb
LAOCC,NA,Lappula occidentalis (S. Watson) Greene var. cupulata (A. Gray) Higgins,flatspine stickseed,forb
LAOCO,NA,Lappula occidentalis (S. Watson) Greene var. occidentalis,flatspine stickseed,forb
LASQ,NA,Lappula squarrosa (Retz.) Dumort.,European stickseed,forb
LACO3,NA,Lapsana communis L.,common nipplewort,forb
LABR,NA,Lathyrus brachycalyx Rydb.,Bonneville pea,forb
LABRZ2,NA,Lathyrus brachycalyx Rydb. ssp. zionis (C.L. Hitchc.) S.L. Welsh,bush pea,forb
LAEU,NA,Lathyrus eucosmus Butters & H. St. John,bush vetchling,forb
LALA6,NA,Lathyrus laetivirens Greene ex Rydb.,aspen pea,forb
LALA3,NA,Lathyrus lanszwertii Kellogg,Nevada pea,forb
LALAL2,NA,Lathyrus lanszwertii Kellogg var. lanszwertii,Lanszwert's pea,forb
LALAL3,NA,Lathyrus lanszwertii Kellogg var. leucanthus (Rydb.) Dorn,Nevada pea,forb
LALA4,NA,Lathyrus latifolius L.,perennial pea,forb
LAPA5,NA,Lathyrus pauciflorus Fernald,fewflower pea,forb
LAPAU,NA,Lathyrus pauciflorus Fernald var. utahensis (M.E. Jones) Piper ex M. Peck,Utah pea,forb
LAPO2,NA,Lathyrus polymorphus Nutt.,manystem pea,forb
LAPOI,NA,Lathyrus polymorphus Nutt. ssp. incanus (J.G. Sm. & Rydb.) C.L. Hitchc.,hoary pea,forb
LAPOP,NA,Lathyrus polymorphus Nutt. ssp. polymorphus,manystem pea,forb
LAPOP2,NA,Lathyrus polymorphus Nutt. ssp. polymorphus var. polymorphus,manystem pea,forb
LASY,NA,Lathyrus sylvestris L.,flat pea,forb
LEGI,NA,Lemna gibba L.,swollen duckweed,forb
LEMI3,NA,Lemna minor L.,common duckweed,forb
LEMI6,NA,Lemna minuta Kunth,least duckweed,forb
LETR,NA,Lemna trisulca L.,star duckweed,forb
LETU2,NA,Lemna turionifera Landolt,turion duckweed,forb
LEVA,NA,Lemna valdiviana Phil.,valdivia duckweed,forb
LECA2,NA,Leonurus cardiaca L.,common motherwort,forb
LECAC7,NA,Leonurus cardiaca L. ssp. cardiaca,common motherwort,forb
LEAL4,NA,Lepidium alyssoides A. Gray,mesa pepperwort,forb
LEALA3,NA,Lepidium alyssoides A. Gray var. alyssoides,mesa pepperwort,forb
LEALE,NA,Lepidium alyssoides A. Gray var. eastwoodiae (Wooton) Rollins,mesa pepperwort,forb
LECA5,NA,Lepidium campestre (L.) W.T. Aiton,field pepperweed,forb
LECR12,NA,Lepidium crenatum (Greene) Rydb.,alkali pepperweed,forb
LEDE,NA,Lepidium densiflorum Schrad.,common pepperweed,forb
LEIN5,NA,Lepidium integrifolium Nutt.,thickleaf pepperweed,forb
LEINH,NA,Lepidium integrifolium Nutt. var. heterophyllum S. Watson,thickleaf pepperweed,forb
LELA,NA,Lepidium lasiocarpum Nutt.,shaggyfruit pepperweed,forb
LELAL,NA,Lepidium lasiocarpum Nutt. var. lasiocarpum,shaggyfruit pepperweed,forb
LELA2,NA,Lepidium latifolium L.,broadleaved pepperweed,forb
LEMO2,NA,Lepidium montanum Nutt.,mountain pepperweed,forb
LEMOC6,NA,Lepidium montanum Nutt. var. coloradense Rollins,mountain pepperweed,forb
LEMOJ,NA,Lepidium montanum Nutt. var. jonesii (Rydb.) C.L. Hitchc.,Jones' pepperweed,forb
LEMOM,NA,Lepidium montanum Nutt. var. montanum,mountain pepperweed,forb
LEMOT,NA,Lepidium montanum Nutt. var. tenellum (L.O. Williams) C.L. Hitchc.,mountain pepperweed,forb
LEMOW,NA,Lepidium montanum Nutt. var. wyomingense (C.L. Hitchc.) C.L. Hitchc.,mountain pepperweed,forb
LEPE2,NA,Lepidium perfoliatum L.,clasping pepperweed,forb
LERA2,NA,Lepidium ramosissimum A. Nelson,manybranched pepperweed,forb
LERAB2,NA,Lepidium ramosissimum A. Nelson var. bourgeauanum (Thell.) Rollins,Bourgeau's pepperweed,forb
LERAD2,NA,Lepidium ramosissimum A. Nelson var. divergens (Osterh.) Rollins,manybranched pepperweed,forb
LERAR3,NA,Lepidium ramosissimum A. Nelson var. ramosissimum,manybranched pepperweed,forb
LESA2,NA,Lepidium sativum L.,gardencress pepperweed,forb
LEST2,NA,Lepidium strictum (S. Watson) Rattan,upright pepperweed,forb
LEVI3,NA,Lepidium virginicum L.,Virginia pepperweed,forb
LEVIM,NA,Lepidium virginicum L. var. medium (Greene) C.L. Hitchc.,intermediate pepperweed,forb
LEVIP,NA,Lepidium virginicum L. var. pubescens (Greene) Thell.,hairy pepperweed,forb
LENU8,NA,Leptosiphon nuttallii (A. Gray) J.M. Porter & L.A. Johnson,Nuttall's linanthus,forb
LENUN,NA,Leptosiphon nuttallii (A. Gray) J.M. Porter & L.A. Johnson ssp. nuttallii,Nuttall's linanthus,forb
LENUN,LENUT2,"Leptosiphon nuttallii (A. Gray) J.M. Porter & L.A. Johnson ssp. tenuilobus (R. Patt.) J.M. Porter & L.A. Johnson, database artifact",NA,forb
LESE17,NA,Leptosiphon septentrionalis (H. Mason) J.M. Porter & L.A. Johnson,northern linanthus,forb
LEAL,NA,Lesquerella alpina (Nutt.) S. Watson,alpine bladderpod,forb
LEALA5,NA,Lesquerella alpina (Nutt.) S. Watson var. alpina,alpine bladderpod,forb
LEAR6,NA,Lesquerella arenosa (Richardson) Rydb.,Great Plains bladderpod,forb
LEARA,NA,Lesquerella arenosa (Richardson) Rydb. var. argillosa Rollins & Shaw,Great Plains bladderpod,forb
LECA9,NA,Lesquerella calcicola Rollins,Rocky Mountain bladderpod,forb
LECO2,NA,Lesquerella condensata A. Nelson,dense bladderpod,forb
LECO10,NA,Lesquerella congesta Rollins,Dudley Bluffs bladderpod,forb
LEFE,NA,Lesquerella fendleri (A. Gray) S. Watson,Fendler's bladderpod,forb
LELU,NA,Lesquerella ludoviciana (Nutt.) S. Watson,foothill bladderpod,forb
LEMO3,NA,Lesquerella montana (A. Gray) S. Watson,mountain bladderpod,forb
LEOV,NA,Lesquerella ovalifolia Rydb. ex Britton,roundleaf bladderpod,forb
LEOVO,NA,Lesquerella ovalifolia Rydb. ex Britton ssp. ovalifolia,roundleaf bladderpod,forb
LEPA10,NA,Lesquerella parviflora Rollins,Piceance bladderpod,forb
LEPA7,NA,Lesquerella parvula Greene,pygmy bladderpod,forb
LEPR2,NA,Lesquerella pruinosa Greene,Pagosa Springs bladderpod,forb
LESU,NA,Lesquerella subumbellata Rollins,parasol bladderpod,forb
LEVI22,NA,"Lesquerella vicina J.L. Anderson, Reveal & Rollins",Uncompahgre bladderpod,forb
LEMA8,NA,Leucanthemum maximum (Ramond) DC.,max chrysanthemum,forb
LEVU,NA,Leucanthemum vulgare Lam.,oxeye daisy,forb
LEMO4,NA,Leucocrinum montanum Nutt. ex A. Gray,common starlily,forb
LEOF,NA,Levisticum officinale W.D.J. Koch,garden lovage,forb
LENE5,NA,Lewisia nevadensis (A. Gray) B.L. Rob.,Nevada lewisia,forb
LEPY2,NA,Lewisia pygmaea (A. Gray) B.L. Rob.,alpine lewisia,forb
LERE7,NA,Lewisia rediviva Pursh,bitter root,forb
LERER,NA,Lewisia rediviva Pursh var. rediviva,bitter root,forb
LETR2,NA,Lewisia triphylla (S. Watson) B.L. Rob.,threeleaf lewisia,forb
LILA,NA,Liatris lancifolia (Greene) Kittell,lanceleaf blazing star,forb
LILI,NA,Liatris ligulistylis (A. Nelson) K. Schum.,Rocky Mountain blazing star,forb
LIPU,NA,Liatris punctata Hook.,dotted blazing star,forb
LIPUP,NA,Liatris punctata Hook. var. punctata,dotted blazing star,forb
LISQ,NA,Liatris squarrosa (L.) Michx.,scaly blazing star,forb
LISQG,NA,Liatris squarrosa (L.) Michx. var. glabrata (Rydb.) Gaiser,scaly blazing star,forb
LIFI,NA,Ligusticum filicinum S. Watson,fernleaf licorice-root,forb
LIPO,NA,Ligusticum porteri J.M. Coult. & Rose,Porter's licorice-root,forb
LIPOP,NA,Ligusticum porteri J.M. Coult. & Rose var. porteri,Porter's licorice-root,forb
LITE2,NA,Ligusticum tenuifolium S. Watson,Idaho licorice-root,forb
LIPH,NA,Lilium philadelphicum L.,wood lily,forb
LIPHA,NA,Lilium philadelphicum L. var. andinum (Nutt.) Ker Gawl.,wood lily,forb
LIAQ,NA,Limosella aquatica L.,water mudwort,forb
LICA36,NA,Linanthus caespitosus (Nutt.) J.M. Porter & L.A. Johnson,mat prickly phlox,forb
LIPU11,NA,Linanthus pungens (Torr.) J.M. Porter & L.A. Johnson,granite prickly phlox,forb
LIWA4,NA,Linanthus watsonii (A. Gray) J.M. Porter & L.A. Johnson,Watson's prickly phlox,forb
LIDA,NA,Linaria dalmatica (L.) Mill.,Dalmatian toadflax,forb
LIDAD,NA,Linaria dalmatica (L.) Mill. ssp. dalmatica,Dalmatian toadflax,forb
LIVU2,NA,Linaria vulgaris Mill.,butter and eggs,forb
LIDU,NA,Lindernia dubia (L.) Pennell,yellowseed false pimpernel,forb
LIDUA,NA,Lindernia dubia (L.) Pennell var. anagallidea (Michx.) Cooperr.,yellowseed false pimpernel,forb
LIDUD,NA,Lindernia dubia (L.) Pennell var. dubia,yellowseed false pimpernel,forb
LIBO3,NA,Linnaea borealis L.,twinflower,forb
LIBOA,NA,Linnaea borealis L. ssp. americana (Forbes) Hultén ex R.T. Clausen,twinflower,forb
LIAR3,NA,Linum aristatum Engelm.,bristle flax,forb
LIAU4,NA,Linum australe A. Heller,southern flax,forb
LIAUA,NA,Linum australe A. Heller var. australe,southern flax,forb
LIBE2,NA,Linum berlandieri Hook.,Berlandier's yellow flax,forb
LIBEB2,NA,Linum berlandieri Hook. var. berlandieri,Berlandier's yellow flax,forb
LICO3,NA,Linum compactum A. Nelson,Wyoming flax,forb
LIGR4,NA,Linum grandiflorum Desf.,flowering flax,forb
LIKI2,NA,Linum kingii S. Watson,King's flax,forb
LILE3,NA,Linum lewisii Pursh,Lewis flax,forb
LILEL2,NA,Linum lewisii Pursh var. lewisii,prairie flax,forb
LIPR,NA,Linum pratense (Norton) Small,meadow flax,forb
LIPU4,NA,Linum puberulum (Engelm.) A. Heller,plains flax,forb
LIRI,NA,Linum rigidum Pursh,stiffstem flax,forb
LIRIR,NA,Linum rigidum Pursh var. rigidum,stiffstem flax,forb
LIRIS,NA,Linum rigidum Pursh var. simulans C.M. Rogers,stiffstem flax,forb
LIUS,NA,Linum usitatissimum L.,common flax,forb
LIBO4,NA,Listera borealis Morong,northern twayblade,forb
LICO5,NA,Listera convallarioides (Sw.) Nutt. ex Elliott,broadlipped twayblade,forb
LICO6,NA,Listera cordata (L.) R. Br.,heartleaf twayblade,forb
LICON,NA,Listera cordata (L.) R. Br. var. nephrophylla (Rydb.) Hultén,heartleaf twayblade,forb
LIGL2,NA,Lithophragma glabrum Nutt.,bulbous woodland-star,forb
LIPA5,NA,Lithophragma parviflorum (Hook.) Nutt. ex Torr. & A. Gray,smallflower woodland-star,forb
LIPAP3,NA,Lithophragma parviflorum (Hook.) Nutt. ex Torr. & A. Gray var. parviflorum,smallflower woodland-star,forb
LITE4,NA,Lithophragma tenellum Nutt.,slender woodland-star,forb
LICA13,NA,Lithospermum caroliniense (Walter ex J.F. Gmel.) MacMill.,Carolina puccoon,forb
LICAC9,NA,Lithospermum caroliniense (Walter ex J.F. Gmel.) MacMill. var. croceum (Fernald) Cronquist,Carolina puccoon,forb
LIIN2,NA,Lithospermum incisum Lehm.,narrowleaf stoneseed,forb
LIMU3,NA,Lithospermum multiflorum Torr. ex A. Gray,manyflowered stoneseed,forb
LIRU4,NA,Lithospermum ruderale Douglas ex Lehm.,western stoneseed,forb
LLSE,NA,Lloydia serotina (L.) Salisb. ex Rchb.,common alplily,forb
LLSES2,NA,Lloydia serotina (L.) Salisb. ex Rchb. var. serotina,common alplily,forb
LOSP2,NA,Lobelia ×speciosa Sweet (pro sp.) [cardinalis × siphilitica],lobelia,forb
LOSPO,NA,Lobelia ×speciosa Sweet (pro nm.) var. occidentalis Bowden (pro nm.) [cardinalis var. phyllostachya × siphilitica var. ludoviciana],lobelia,forb
LOCA2,NA,Lobelia cardinalis L.,cardinalflower,forb
LOSI,NA,Lobelia siphilitica L.,great blue lobelia,forb
LOSIL,NA,Lobelia siphilitica L. var. ludoviciana A. DC.,great blue lobelia,forb
LOMA,NA,Lobularia maritima (L.) Desv.,sweet alyssum,forb
LOBI,NA,Lomatium bicolor (S. Watson) J.M. Coult. & Rose,Wasatch desertparsley,forb
LOBIB,NA,Lomatium bicolor (S. Watson) J.M. Coult. & Rose var. bicolor,Wasatch desertparsley,forb
LOBIL,NA,Lomatium bicolor (S. Watson) J.M. Coult. & Rose var. leptocarpum (Torr. & A. Gray) Schlessman,Wasatch desertparsley,forb
LOCO2,NA,Lomatium concinnum (Osterh.) Mathias,adobe desertparsley,forb
LODI,NA,Lomatium dissectum (Nutt.) Mathias & Constance,fernleaf biscuitroot,forb
LODIM,NA,Lomatium dissectum (Nutt.) Mathias & Constance var. multifidum,carrotleaf biscuitroot,forb
LOEA,NA,Lomatium eastwoodiae (J.M. Coult. & Rose) J.F. Macbr.,Eastwood's desertparsley,forb
LOFO,NA,Lomatium foeniculaceum (Nutt.) J.M. Coult. & Rose,desert biscuitroot,forb
LOFOF2,NA,Lomatium foeniculaceum (Nutt.) J.M. Coult. & Rose ssp. foeniculaceum,desert biscuitroot,forb
LOFOM,NA,Lomatium foeniculaceum (Nutt.) J.M. Coult. & Rose ssp. macdougalii (J.M. Coult. & Rose) W.L. Theobald,Macdougal's biscuitroot,forb
LOGR,NA,Lomatium grayi (J.M. Coult. & Rose) J.M. Coult. & Rose,Gray's biscuitroot,forb
LOGRG2,NA,Lomatium grayi (J.M. Coult. & Rose) J.M. Coult. & Rose var. grayi,Gray's biscuitroot,forb
LOJU,NA,Lomatium juniperinum (M.E. Jones) J.M. Coult. & Rose,juniper biscuitroot,forb
LOLA4,NA,Lomatium latilobum (Rydb.) Mathias,Canyonlands biscuitroot,forb
LOMA3,NA,Lomatium macrocarpum (Nutt. ex Torr. & A. Gray) J.M. Coult. & Rose,bigseed biscuitroot,forb
LONU3,NA,Lomatium nuttallii (A. Gray) J.F. Macbr.,Nuttall's biscuitroot,forb
LOOR,NA,Lomatium orientale J.M. Coult. & Rose,Northern Idaho biscuitroot,forb
LOSI2,NA,Lomatium simplex (Nutt.) J.F. Macbr.,Great Basin desertparsley,forb
LOSIS,NA,Lomatium simplex (Nutt.) J.F. Macbr. var. simplex,Great Basin desertparsley,forb
LORO,NA,Lomatogonium rotatum (L.) Fr. ex Fernald,marsh felwort,forb
LOCO6,NA,Lotus corniculatus L.,bird's-foot trefoil,forb
LOCOC5,NA,Lotus corniculatus L. var. corniculatus,bird's-foot trefoil,forb
LOTE4,NA,Lotus tenuis Waldst. & Kit. ex Willd.,narrowleaf trefoil,forb
LOWR,NA,Lotus wrightii (A. Gray) Greene,Wright's deervetch,forb
LUAL2,NA,Ludwigia alternifolia L.,seedbox,forb
LUAN,NA,Lunaria annua L.,annual honesty,forb
LUAL5,NA,Lupinus ×alpestris A. Nelson (pro sp.) [argenteus × caudatus],Great Basin lupine,forb
LUAM,NA,Lupinus ammophilus Greene,sand lupine,forb
LUAR3,NA,Lupinus argenteus Pursh,silvery lupine,forb
LUARA5,NA,Lupinus argenteus Pursh ssp. argenteus,silvery lupine,forb
LUARA11,NA,Lupinus argenteus Pursh ssp. argenteus var. argenteus,silvery lupine,forb
LUARL5,NA,Lupinus argenteus Pursh ssp. argenteus var. laxiflorus (Douglas ex Lindl.) Dorn,silvery lupine,forb
LUARI,NA,Lupinus argenteus Pursh ssp. ingratus (Greene) Harmon,silvery lupine,forb
LUARM3,NA,Lupinus argenteus Pursh ssp. moabensis D. Dunn & Harmon,silvery lupine,forb
LUARR,NA,Lupinus argenteus Pursh ssp. rubricaulis (Greene) Hess & D. Dunn,silvery lupine,forb
LUARS3,NA,Lupinus argenteus Pursh ssp. spathulatus (Rydb.) Hess & D. Dunn,silvery lupine,forb
LUBA3,NA,Lupinus bakeri Greene,Baker's lupine,forb
LUBAA,NA,Lupinus bakeri Greene ssp. amplus (Greene) Fleak & D. Dunn,Baker's lupine,forb
LUBAB,NA,Lupinus bakeri Greene ssp. bakeri,Baker's lupine,forb
LUBR2,NA,Lupinus brevicaulis S. Watson,shortstem lupine,forb
LUCA3,NA,Lupinus caespitosus Nutt.,stemless dwarf lupine,forb
LUCAC2,NA,Lupinus caespitosus Nutt. var. caespitosus,stemless dwarf lupine,forb
LUCAU,NA,Lupinus caespitosus Nutt. var. utahensis (S. Watson) Cox,Utah lupine,forb
LUCA,NA,Lupinus caudatus Kellogg,tailcup lupine,forb
LUCAA,NA,Lupinus caudatus Kellogg ssp. argophyllus (A. Gray) L. Phillips,Kellogg's spurred lupine,forb
LUCAC3,NA,Lupinus caudatus Kellogg ssp. caudatus,tailcup lupine,forb
LUCR2,NA,Lupinus crassus Payson,Paradox lupine,forb
LUDE3,NA,Lupinus depressus Rydb.,depressed lupine,forb
LUKI,NA,Lupinus kingii S. Watson,King's lupine,forb
LUKIA,NA,Lupinus kingii S. Watson var. argillaceus (Wooton & Standl.) C.P. Sm.,King's lupine,forb
LUKIK,NA,Lupinus kingii S. Watson var. kingii,King's lupine,forb
LULE3,NA,Lupinus leucophyllus Douglas ex Lindl.,velvet lupine,forb
LUPA8,NA,Lupinus parviflorus Nutt. ex Hook. & Arn.,lodgepole lupine,forb
LUPAF,NA,Lupinus parviflorus Nutt. ex Hook. & Arn. ssp. floribundus (Greene) Harmon,lodgepole lupine,forb
LUPAM2,NA,Lupinus parviflorus Nutt. ex Hook. & Arn. ssp. myrianthus (Greene) Harmon,lodgepole lupine,forb
LUPAF4,NA,Lupinus parviflorus Nutt. ex Hook. & Arn. ssp. myrianthus (Greene) Harmon var. fulvomaculatus (Payson) Harmon,lodgepole lupine,forb
LUPAM4,NA,Lupinus parviflorus Nutt. ex Hook. & Arn. ssp. myrianthus (Greene) Harmon var. myrianthus,lodgepole lupine,forb
LUPAP4,NA,Lupinus parviflorus Nutt. ex Hook. & Arn. ssp. parviflorus,lodgepole lupine,forb
LUPL,NA,Lupinus plattensis S. Watson,Nebraska lupine,forb
LUPR2,NA,Lupinus prunophilus M.E. Jones,hairy bigleaf lupine,forb
LUPU,NA,Lupinus pusillus Pursh,rusty lupine,forb
LUPUI2,NA,Lupinus pusillus Pursh ssp. intermontanus (A. Heller) D. Dunn,Intermountain lupine,forb
LUPUP,NA,Lupinus pusillus Pursh ssp. pusillus,rusty lupine,forb
LUPUR,NA,Lupinus pusillus Pursh ssp. rubens (Rydb.) D. Dunn,rusty lupine,forb
LUSE4,NA,Lupinus sericeus Pursh,silky lupine,forb
LUSES2,NA,Lupinus sericeus Pursh ssp. sericeus,silky lupine,forb
LUSEE2,NA,Lupinus sericeus Pursh ssp. sericeus var. egglestonianus C.P. Sm.,silky lupine,forb
LUSES4,NA,Lupinus sericeus Pursh ssp. sericeus var. sericeus,silky lupine,forb
LUWY,NA,Lupinus wyethii S. Watson,Wyeth's lupine,forb
LUWYW,NA,Lupinus wyethii S. Watson ssp. wyethii,Wyeth's lupine,forb
LYCO,NA,Lychnis coronaria (L.) Desr.,rose campion,forb
LYAN2,NA,Lycopodium annotinum L.,stiff clubmoss,forb
LYAM,NA,Lycopus americanus Muhl. ex W.P.C. Barton,American water horehound,forb
LYAS,NA,Lycopus asper Greene,rough bugleweed,forb
LYUN,NA,Lycopus uniflorus Michx.,northern bugleweed,forb
LYUNU2,NA,Lycopus uniflorus Michx. var. uniflorus,northern bugleweed,forb
LYAR2,NA,Lygodesmia arizonica S. Tomb,Arizona skeletonplant,forb
LYDO,NA,Lygodesmia doloresensis S. Tomb,Dolores River skeletonplant,forb
LYGR,NA,Lygodesmia grandiflora (Nutt.) Torr. & A. Gray,largeflower skeletonplant,forb
LYJU,NA,Lygodesmia juncea (Pursh) D. Don ex Hook.,rush skeletonplant,forb
LYCI,NA,Lysimachia ciliata L.,fringed loosestrife,forb
LYNU,NA,Lysimachia nummularia L.,creeping jenny,forb
LYTH2,NA,Lysimachia thyrsiflora L.,tufted loosestrife,forb
LYVU,NA,Lysimachia vulgaris L.,garden yellow loosestrife,forb
LYAL4,NA,Lythrum alatum Pursh,winged lythrum,forb
LYALA4,NA,Lythrum alatum Pursh var. alatum,winged lythrum,forb
LYSA2,NA,Lythrum salicaria L.,purple loosestrife,forb
MABI,NA,Machaeranthera bigelovii (A. Gray) Greene,Bigelow's tansyaster,forb
MABIB,NA,Machaeranthera bigelovii (A. Gray) Greene var. bigelovii,Bigelow's tansyaster,forb
MABIC,NA,Machaeranthera bigelovii (A. Gray) Greene var. commixta (Greene) B.L. Turner,Bigelow's tansyaster,forb
MACA2,NA,Machaeranthera canescens (Pursh) A. Gray,hoary tansyaster,forb
MACAC,NA,Machaeranthera canescens (Pursh) A. Gray ssp. canescens,hoary tansyaster,forb
MACAA,NA,Machaeranthera canescens (Pursh) A. Gray ssp. canescens var. ambigua B.L. Turner,hoary tansyaster,forb
MACAC3,NA,Machaeranthera canescens (Pursh) A. Gray ssp. canescens var. canescens,hoary tansyaster,forb
